spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0whmIaItqkT8e5PVuPyhvT,Perfect (Exceeder),"Mason, Princess Superstar",79,FALSE,161.25,Perfect (Exceeder),2007/1/11,0.667,0.845,6,-6.845,1,0.0812,0.0248,0.065,0.466,0.681,127.879,4
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,88,FALSE,251.488,Songs From The Big Chair (Super Deluxe Edition),1985/2/25,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
5RKQ5NdjSh2QzD4MaunT91,Don't Stop Believin' (2022 Remaster),Journey,86,FALSE,249.6,Escape (2022 Remaster),1981/7/17,0.505,0.754,4,-7.435,1,0.0366,0.132,0,0.204,0.51,119.204,4
2D9a9CXeo3HFtVeaNlzp4a,just stand there,"Fred again.., SOAK",43,FALSE,260.997,ten days,2024/9/6,0.564,0.864,5,-7.111,1,0.0506,0.0278,0.125,0.134,0.29,130.023,4
13U2hhhgeN57hffBCuaUcw,Pineapple Slice,BAEKHYUN,56,FALSE,195.946,"Hello, World - The 4th Mini Album",2024/9/6,0.626,0.758,0,-4.691,1,0.0752,0.0517,0,0.101,0.542,98.926,4
1YvT4ml5LQM8ZYcLvqsAkD,Remember Him That Way,Luke Combs,63,FALSE,236.055,Fathers & Sons,2024/6/14,0.532,0.689,11,-8.12,1,0.035,0.405,0.0000439,0.21,0.525,171.904,4
2xP7OHLvsj2XJgVb5qbFUK,名字,Ronghao Li,60,FALSE,266.342,名字,2024/4/10,0.6,0.54,3,-6.13,1,0.031,0.276,0,0.302,0.266,121.986,4
7KdQOqCspznOjPDT0KAnuq,Morë,Yeat,34,TRUE,165.4,2093,2024/2/16,0.462,0.743,1,-10.027,1,0.198,0.0104,0.125,0.284,0.192,164.209,4
3WB9r0SqS5ThjK49bDexXe,Never Be Alone,"Becky Hill, Sonny Fodera",35,FALSE,189.087,Never Be Alone,2024/1/19,0.604,0.95,0,-3.524,0,0.0484,0.0179,0.00000466,0.465,0.428,126.994,4
4yjDMKCAeLovlo9ih0AgXW,OMG (FRNK Remix),NewJeans,54,FALSE,210.4,NJWMX,2023/12/19,0.759,0.856,10,-3.616,1,0.0452,0.268,0,0.248,0.686,129.039,4
